user_id,date,transaction_type,amount,balance,description,channel
ROSHAN01,2023-08-27 00:00:00,debit,793.19,105844.68,Pharmacy,UPI
ROSHAN01,2023-09-01 00:00:00,debit,830.51,140035.9,Pharmacy,UPI
ROSHAN01,2023-09-03 00:00:00,debit,5467.58,117133.01,Tractor Rental,UPI
ROSHAN01,2023-09-07 00:00:00,debit,297.3,132729.96,Electricity Bill,UPI
ROSHAN01,2023-09-08 00:00:00,credit,21588.46,119415.9,Dairy Cooperative Payment,UPI
ROSHAN01,2023-09-10 00:00:00,credit,21871.44,141287.34,Agricultural Produce Sale,bank transfer
ROSHAN01,2023-09-11 00:00:00,debit,275.46,122600.59,Local Store,UPI
ROSHAN01,2023-09-16 00:00:00,debit,4313.71,128416.25,Tractor Rental,UPI
ROSHAN01,2023-09-17 00:00:00,debit,351.74,139684.16,Irrigation Pump Fuel,cash
ROSHAN01,2023-09-17 00:00:00,debit,5540.2,122876.05,Fertilizer Purchase,cash
ROSHAN01,2023-09-19 00:00:00,debit,3280.34,136403.82,Seed Purchase,cash
ROSHAN01,2023-09-24 00:00:00,debit,420.93,140866.41,Local Store,UPI
ROSHAN01,2023-09-28 00:00:00,debit,3376.56,133027.26,School Fees,bank transfer
ROSHAN01,2023-10-01 00:00:00,debit,3217.29,130234.48,Fertilizer Purchase,cash
ROSHAN01,2023-10-02 00:00:00,debit,4654.37,120678.81,School Fees,bank transfer
ROSHAN01,2023-10-02 00:00:00,debit,2895.33,114402.34,School Fees,bank transfer
ROSHAN01,2023-10-04 00:00:00,debit,1514.6,118114.53,Seed Purchase,cash
ROSHAN01,2023-10-09 00:00:00,debit,334.8,119629.13,Mobile Recharge,UPI
ROSHAN01,2023-10-13 00:00:00,debit,4257.07,125977.41,Tractor Rental,UPI
ROSHAN01,2023-10-15 00:00:00,debit,506.15,117297.67,Electricity Bill,UPI
ROSHAN01,2023-10-16 00:00:00,debit,644.23,125333.18,Groceries,UPI
ROSHAN01,2023-10-22 00:00:00,debit,310.71,117803.82,Irrigation Pump Fuel,cash
ROSHAN01,2023-10-23 00:00:00,debit,714.88,119963.93,Dairy Milk,UPI
ROSHAN01,2023-10-24 00:00:00,debit,3266.48,133451.77,School Fees,bank transfer
ROSHAN01,2023-10-27 00:00:00,credit,19585.24,136718.25,Agricultural Produce Sale,bank transfer
ROSHAN01,2023-10-31 00:00:00,debit,488.79,141753.42,Irrigation Pump Fuel,cash
ROSHAN01,2023-10-31 00:00:00,debit,6829.17,134924.25,Tractor Rental,UPI
ROSHAN01,2023-11-01 00:00:00,debit,802.98,143391.33,Local Store,UPI
ROSHAN01,2023-11-02 00:00:00,debit,3425.85,131498.4,School Fees,bank transfer
ROSHAN01,2023-11-03 00:00:00,credit,37875.32,152277.66,Mandi Receipt,bank transfer
ROSHAN01,2023-11-04 00:00:00,debit,6776.33,123971.51,Tractor Rental,UPI
ROSHAN01,2023-11-05 00:00:00,debit,857.56,142242.21,Veterinary Services,cash
ROSHAN01,2023-11-10 00:00:00,debit,3949.63,119351.52,School Fees,bank transfer
ROSHAN01,2023-11-12 00:00:00,debit,5257.43,114094.09,Tractor Rental,UPI
ROSHAN01,2023-11-15 00:00:00,debit,312.05,131186.35,Electricity Bill,UPI
ROSHAN01,2023-11-17 00:00:00,debit,490.88,144194.31,Local Store,UPI
ROSHAN01,2023-11-20 00:00:00,debit,670.36,123301.15,Pharmacy,UPI
ROSHAN01,2023-11-22 00:00:00,debit,7592.47,144685.19,Tractor Rental,UPI
ROSHAN01,2023-11-24 00:00:00,debit,291.56,143099.77,Dairy Milk,UPI
ROSHAN01,2023-11-25 00:00:00,debit,438.51,130747.84,Veterinary Services,cash
ROSHAN01,2023-11-28 00:00:00,debit,666.27,137999.64,Mobile Recharge,UPI
ROSHAN01,2023-11-29 00:00:00,debit,153.92,137845.72,Pharmacy,UPI
ROSHAN01,2023-11-29 00:00:00,debit,156.69,137689.03,Local Store,UPI
ROSHAN01,2023-12-04 00:00:00,debit,3661.56,133392.29,Tractor Rental,UPI
ROSHAN01,2023-12-04 00:00:00,debit,177.54,127520.04,Mobile Recharge,UPI
ROSHAN01,2023-12-05 00:00:00,debit,635.18,137053.85,Dairy Milk,UPI
ROSHAN01,2023-12-05 00:00:00,debit,5133.74,127697.58,Seed Purchase,cash
ROSHAN01,2023-12-06 00:00:00,credit,25142.57,139236.66,Agricultural Produce Sale,bank transfer
ROSHAN01,2023-12-10 00:00:00,debit,371.44,124271.15,Irrigation Pump Fuel,cash
ROSHAN01,2023-12-11 00:00:00,debit,438.86,127081.18,Local Store,UPI
ROSHAN01,2023-12-12 00:00:00,debit,143.34,126937.84,Irrigation Pump Fuel,cash
ROSHAN01,2023-12-15 00:00:00,debit,570.75,138665.91,Pharmacy,UPI
ROSHAN01,2023-12-18 00:00:00,debit,2295.25,124642.59,School Fees,bank transfer
ROSHAN01,2023-12-25 00:00:00,debit,298.93,123972.22,Mobile Recharge,UPI
ROSHAN01,2023-12-27 00:00:00,debit,560.97,132831.32,Veterinary Services,cash
